,Vcmax_m_25,Rdarka_25C_FixedQ10,Predicted Link,Species,Source Scientific,Destination Scientific
315,233.1,0.71,1,Symphonia globulifera,Lupinus perennis,Ulva L.
316,481.8,0.72,1,Tabebuia insignis,Lupinus perennis,Claytonia perfoliata
317,486.0,1.16,1,Tapirira guianensis,Lupinus perennis,Claytonia perfoliata
318,349.3,0.8,1,Tapirira obtusa,Lupinus perennis,Claytonia perfoliata
319,272.8,0.28,1,Theobroma subincanum,Lupinus perennis,Claytonia perfoliata
320,369.3,0.94,1,Virola surinamensis,Lupinus perennis,Dudleya caespitosa
321,633.2,1.22,1,Vismia sessilifolia,Lupinus perennis,Ixeris stolonifera
322,300.8,0.4,1,Amaioua guianensis,Lupinus perennis,Lactuca biennis
323,211.8,0.5,1,Amphirrhox longifolia,Lupinus perennis,Lactuca canadensis
324,312.0,1.16,1,Bocoa prouacensis,Lupinus perennis,Lactuca L.
325,218.8,0.48,1,Casearia javitensis,Lupinus perennis,Lactuca floridana
326,207.4,0.8,1,Chaetocarpus schomburgkianus,Lupinus perennis,Lactuca floridana
327,152.2,1.24,1,Chrysophyllum prieurii,Lupinus perennis,Lactuca floridana
328,318.9,0.79,1,Chrysophyllum sanguinolentum,Lupinus perennis,Lactuca graminifolia
329,271.5,0.62,1,Couratari multiflora,Lupinus perennis,Lactuca graminifolia
330,232.4,0.55,1,Cupania scrobiculata,Lupinus perennis,Lactuca graminifolia
331,491.7,0.56,1,Dialium guianense,Lupinus perennis,Lactuca hirsuta
332,188.1,1.04,1,Duroia longiflora,Lupinus perennis,Lactuca hirsuta
333,163.2,0.83,1,Eperua falcata,Lupinus perennis,Lactuca hirsuta
334,183.4,0.62,1,Eschweilera coriacea,Lupinus perennis,Lactuca hirsuta
335,150.7,0.87,1,Eschweilera sagotiana,Lupinus perennis,Lactuca indica
336,368.1,1.34,1,Guarea kunthiana,Lupinus perennis,Lactuca ludoviciana
